#Daily Hoc For 2018-10-30
*Todays Counts: 29035*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/ItzTaken|8556|7515|1041
2|/u/amazingpikachu_38|7770||7770
3|/u/NobodyL0vesMe|3564|2699|865
4|/u/dominodan123|2292|786|1506
5|/u/treje|1586|349|1237
6|/u/Moarbadass|1281|770|511
7|/u/Rajalaxo|658|494|164
8|/u/Lonadont|517|215|302
9|/u/LeinadSpoon|454|155|299
10|/u/MaybeNotWrong|432|234|198
11|/u/MrBahr12|402|400|2
12|/u/mendel3|299|131|168
13|/u/TOP_20|282|135|147
14|/u/abplows|278|239|39
15|/u/LeinadLeinad|157|157|
16|/u/yumyum36|51|29|22
17|/u/SolidGoldMagikarp|50|24|26
18|/u/TOASTER867|46|12|34
19|/u/NeonL1vesMatter|37|22|15
20|/u/JustSomeSmallQs|37|13|24
21|/u/batpuppy|33|19|14
22|/u/gordonpt8|29|14|15
23|/u/smarvin6689|29|11|18
24|/u/davidjl123|29|14|15
25|/u/noduorg|23|8|15
26|/u/PrisonBull|19|12|7
27|/u/TOP_6689|19|10|9
28|/u/rideride|17|6|11
29|/u/the-true-michael|12|5|7
30|/u/Leinadont|11|7|4
31|/u/LeinadFork|10|5|5
32|/u/NobodyL3insMe|10|6|4
33|/u/slimygrimyraimi|7|2|5
34|/u/TOP_501|5|5|
35|/u/SuperVK|4|1|3
36|/u/shhx|4|2|2
37|/u/LandingGearUp|3|1|2
38|/u/sakima11|3|1|2
39|/u/VORTXS|3|3|
40|/u/artbn|2|1|1
41|/u/teeravj|2|2|
42|/u/NobodyL0nasMe|2|2|
43|/u/parker_cube|1|1|
44|/u/Harding_1920|1||1
45|/u/DemonBurritoCat|1||1
46|/u/SecretAsianMa|1|1|
47|/u/Shado5172|1||1
48|/u/thephilsblogbar|1||1
49|/u/VitaminB16|1|1|
50|/u/chiiragguptaa|1||1
51|/u/Praill|1|1|
52|/u/1_Count_Per_HoC|1|1|


ItzTaken has achieved WRC today.
