#Daily Hoc For 2018-10-18
*Todays Counts: 24781*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/dominodan123|6269|2450|3819
2|/u/Lonadont|3243|1557|1686
3|/u/ItzTaken|2366|2186|180
4|/u/treje|1953|747|1206
5|/u/NobodyL0vesMe|1876|1190|686
6|/u/LeinadSpoon|1702|1126|576
7|/u/MaybeNotWrong|1419|194|1225
8|/u/SolidGoldMagikarp|1223|974|249
9|/u/amazingpikachu_38|760||760
10|/u/Rajalaxo|742|205|537
11|/u/rideride|738|585|153
12|/u/PrisonBull|653|157|496
13|/u/Noob2137|653|532|121
14|/u/dorepo|344|71|273
15|/u/TOP_20|213|44|169
16|/u/Retro28|109|107|2
17|/u/parklawnz|89|39|50
18|/u/shhx|66|63|3
19|/u/Pipemax32|52|16|36
20|/u/fakerealnews|42|3|39
21|/u/SecretAsianMa|40|34|6
22|/u/davidjl123|33|16|17
23|/u/smarvin6689|28|12|16
24|/u/rschaosid|24|12|12
25|/u/darwimn|19|8|11
26|/u/gordonpt8|15|5|10
27|/u/dokbanks|14|6|8
28|/u/thephilsblogbar|14|11|3
29|/u/noduorg|11|2|9
30|/u/TOP_6689|7|4|3
31|/u/sakima11|6|3|3
32|/u/kelfinforlife|6|2|4
33|/u/MrBahr12|6|1|5
34|/u/abplows|5|2|3
35|/u/FiresThatBurn|4||4
36|/u/VitaminB16|4||4
37|/u/LeinadFork|4|3|1
38|/u/Epickitty_101|3|3|
39|/u/nexusanarchy|3|3|
40|/u/dylantherabbit2016|2||2
41|/u/elanti2000|2|1|1
42|/u/Raniharb|2|2|
43|/u/dominodab123|2|2|
44|/u/DemonBurritoCat|1|1|
45|/u/Silver_Dots|1||1
46|/u/sphynxcatgaming|1|1|
47|/u/ludrol|1|1|
48|/u/teeravj|1|1|
49|/u/-JWS-|1|1|
50|/u/indianofficer|1|1|
51|/u/artbn|1|1|
52|/u/dRaven43|1|1|
53|/u/luc122c|1|1|
54|/u/Barskie|1||1
55|/u/WJ_Dubs|1|1|
56|/u/overturned-rock|1|1|
57|/u/1_Count_Per_HoC|1||1
58|/u/nite_hun|1|1|


dominodan123 has achieved WRC today.
