#Daily Hoc For 2018-10-21
*Todays Counts: 30395*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/ItzTaken|7318|4942|2376
2|/u/NobodyL0vesMe|5856|3724|2132
3|/u/treje|5343|2901|2442
4|/u/MaybeNotWrong|3973|1466|2507
5|/u/amazingpikachu_38|3745|1|3744
6|/u/dominodan123|1294|578|716
7|/u/TOP_20|762|678|84
8|/u/PrisonBull|375|40|335
9|/u/SecretAsianMa|368|238|130
10|/u/rideride|311|90|221
11|/u/ludrol|207|12|195
12|/u/abplows|154|44|110
13|/u/Rajalaxo|153|117|36
14|/u/Al3xFreeman|137|135|2
15|/u/davidjl123|107|92|15
16|/u/smarvin6689|43|15|28
17|/u/andreas1803|35|10|25
18|/u/SolidGoldMagikarp|26|10|16
19|/u/gordonpt8|25|9|16
20|/u/hkffbjb|16|12|4
21|/u/TOP_6689|15|10|5
22|/u/bleed_blue_n_gold|14|3|11
23|/u/rschaosid|13|5|8
24|/u/OGreenC|13|9|4
25|/u/dylantherabbit2016|11|6|5
26|/u/parker_cube|10|9|1
27|/u/thephilsblogbar|9|3|6
28|/u/count_worse|8|3|5
29|/u/Noob2137|8|7|1
30|/u/MrBahr12|5|2|3
31|/u/Lonadont|5|3|2
32|/u/sakima11|4|3|1
33|/u/mrfnugzi|4|1|3
34|/u/LeinadSpoon|3|1|2
35|/u/Lifeofchrome|2|2|
36|/u/cro4_chromate|2||2
37|/u/Tranquilsunrise|2|1|1
38|/u/artbn|2|1|1
39|/u/mrcarpetmanager|2|2|
40|/u/HarpoTheSquid|2|1|1
41|/u/Chalupa_Grandpa|2|2|
42|/u/H_G_Bells|2|1|1
43|/u/jama211|1|1|
44|/u/Chaoz_Sanctuary|1||1
45|/u/JMaster260|1||1
46|/u/noduorg|1|1|
47|/u/Tafi943|1|1|
48|/u/NachosConQueso|1|1|
49|/u/VitaminB16|1||1
50|/u/megakid2k|1|1|
51|/u/1_Count_Per_HoC|1||1


ItzTaken has achieved WRC today.
