#Daily Hoc For 2018-10-7
*Todays Counts: 28302*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/NobodyL0vesMe|6534|4117|2417
2|/u/treje|4428|2772|1656
3|/u/amazingpikachu_38|3864||3864
4|/u/parker_cube|2407|1680|727
5|/u/dominodan123|2074|845|1229
6|/u/Lonadont|1838|784|1054
7|/u/MaybeNotWrong|1286|412|874
8|/u/iwannaplay5050|1255|686|569
9|/u/APackOfSmarties|1180|1162|18
10|/u/TOP_20|1059|199|860
11|/u/Tranquilsunrise|379|17|362
12|/u/xMrlMyCckTrtBf|345|339|6
13|/u/Magnus_Tesshu|341|278|63
14|/u/SolidGoldMagikarp|225|122|103
15|/u/skinni_stick|202|201|1
16|/u/sakima11|199|180|19
17|/u/gordonpt8|147|125|22
18|/u/TheWubbie|75||75
19|/u/annoyingpikachu_38|61|44|17
20|/u/kbeirnie99|61||61
21|/u/yakobski|51|51|
22|/u/rideride|46|19|27
23|/u/smarvin6689|37|13|24
24|/u/Joshquick|28|2|26
25|/u/davidjl123|27|14|13
26|/u/abplows|23|19|4
27|/u/heavybakugan|15|7|8
28|/u/Lifeofchrome|13|8|5
29|/u/Chaoz_Sanctuary|12|8|4
30|/u/Mac_cy|12|12|
31|/u/Hydrottle|11|3|8
32|/u/RedTwinkleToes|10|3|7
33|/u/noduorg|9|5|4
34|/u/b66b|6|2|4
35|/u/RoaDnz|6|3|3
36|/u/cro4_chromate|4|2|2
37|/u/TOP_6689|4|1|3
38|/u/chmpdog|4|3|1
39|/u/artbn|3|1|2
40|/u/Retro28|3||3
41|/u/SUMBWEDY|3|2|1
42|/u/LeinadSpoon|2|1|1
43|/u/JustAnchor|2|1|1
44|/u/MutantCoach|1|1|
45|/u/bump_anyone|1|1|
46|/u/DemonBurritoCat|1|1|
47|/u/VitaminB16|1||1
48|/u/overdrafts|1||1
49|/u/NeonL1vesMatter|1|1|
50|/u/Romulxn|1|1|
51|/u/ludrol|1||1
52|/u/TOP_118|1|1|
53|/u/1_Count_Per_HoC|1||1
54|/u/MrBahr12|1|1|
NobodyL0vesMe has achieved WRC today

