#Daily Hoc For 2018-12-26
*Todays Counts: 50146*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/NobodyL0vesMe|11372|6643|4729
2|/u/MaybeNotWrong|10185|5421|4764
3|/u/ItzTaken|7641|6646|995
4|/u/amazingpikachu_38|6750||6750
5|/u/noduorg|5076|1720|3356
6|/u/treje|5060|2340|2720
7|/u/Lonadont|2309|1587|722
8|/u/yesduorg|1001|376|625
9|/u/absolutelynotduorg|184||184
10|/u/Chalupa_Sister|91|91|
11|/u/PaleRepresentative|85|8|77
12|/u/NeonL1vesMatter|68|45|23
13|/u/davidjl123|53|32|21
14|/u/smarvin6689|49|16|33
15|/u/TOP_20|23|16|7
16|/u/dominodan123|18|10|8
17|/u/Tranquilsunrise|17|8|9
18|/u/Chalupa_Grandpa|17|10|7
19|/u/TOP_6689|17|10|7
20|/u/VitaminB16|15|9|6
21|/u/abplows|14|14|
22|/u/NobodyL0nasMe|14|14|
23|/u/gordonpt8|10|7|3
24|/u/rschaosid|10|5|5
25|/u/rideride|8|8|
26|/u/Londadont|8|7|1
27|/u/BringBackChalupa_Dad|6|1|5
28|/u/Chalupa_Brother|6|6|
29|/u/Chapula_Dad|5|2|3
30|/u/trejes_independence|5|5|
31|/u/hadot|4|3|1
32|/u/freedom4treje|3|3|
33|/u/Rajalaxo|2|2|
34|/u/artbn|2||2
35|/u/piyushsharma301|2||2
36|/u/ItzNotWrong|2|2|
37|/u/Kittykanon|1|1|
38|/u/cro4_chromate|1||1
39|/u/no888foryou|1|1|
40|/u/ImBadAtRocketLeague|1|1|
41|/u/LeinadSpoon|1|1|
42|/u/MrBahr12|1|1|
43|/u/Iluvdubedgedsword|1|1|
44|/u/4FrSw|1|1|
45|/u/count_worse|1||1
46|/u/DemonBurritoCat|1|1|
47|/u/Chalupa_Descendant|1||1
48|/u/LoukoumB|1|1|
49|/u/SolidGoldMagikarp|1||1
50|/u/1_Count_Per_HoC|1|1|


NobodyL0vesMe has achieved WRC today.
