#Daily Hoc For 2018-10-23
*Todays Counts: 42668*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/NobodyL0vesMe|11136|8321|2815
2|/u/ItzTaken|9468|5700|3768
3|/u/dominodan123|7074|3517|3557
4|/u/amazingpikachu_38|7028||7028
5|/u/Lonadont|3261|436|2825
6|/u/treje|1674|1383|291
7|/u/PrisonBull|796|786|10
8|/u/MaybeNotWrong|618|450|168
9|/u/Rajalaxo|442|17|425
10|/u/ludrol|221|146|75
11|/u/Shado5172|217|158|59
12|/u/NeonL1vesMatter|141|68|73
13|/u/abplows|95|60|35
14|/u/TOP_20|84|49|35
15|/u/LeinadSpoon|70|47|23
16|/u/smarvin6689|54|24|30
17|/u/SolidGoldMagikarp|51|31|20
18|/u/AnatidaephobicDuck03|40|12|28
19|/u/davidjl123|36|22|14
20|/u/VitaminB16|24|15|9
21|/u/gordonpt8|21|9|12
22|/u/batpuppy|21|11|10
23|/u/alchzh|16|13|3
24|/u/noduorg|15|12|3
25|/u/TheChezMaster|10|10|
26|/u/TOP_6689|9|8|1
27|/u/rschaosid|7|4|3
28|/u/mingjie66|5|4|1
29|/u/teeravj|3|1|2
30|/u/MrBahr12|3|2|1
31|/u/Noob2137|3|2|1
32|/u/thephilsblogbar|3|3|
33|/u/ceese90|2||2
34|/u/count_worse|2|1|1
35|/u/artbn|2|2|
36|/u/rideride|2||2
37|/u/sahkuh|1||1
38|/u/ElliottB1|1|1|
39|/u/ImOldBatman|1||1
40|/u/BredsonTy|1|1|
41|/u/Wheatley312|1||1
42|/u/co3_carbonate|1|1|
43|/u/cro4_chromate|1||1
44|/u/Tranquilsunrise|1||1
45|/u/hkffbjb|1||1
46|/u/mehavecupcake|1||1
47|/u/jyl5555|1||1
48|/u/H_G_Bells|1|1|
49|/u/sakima11|1|1|
50|/u/1_Count_Per_HoC|1|1|


N/A has achieved WRC today.
