#Daily Hoc For 2018-10-20
*Todays Counts: 33972*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/amazingpikachu_38|5893||5893
2|/u/NobodyL0vesMe|5353|3475|1878
3|/u/dominodan123|5233|3646|1587
4|/u/ItzTaken|4441|2395|2046
5|/u/Rajalaxo|2483|1669|814
6|/u/MaybeNotWrong|2242|1430|812
7|/u/Lonadont|2230|1007|1223
8|/u/TOP_20|2174|572|1602
9|/u/PrisonBull|932|797|135
10|/u/LeinadSpoon|458|440|18
11|/u/Noob2137|442|439|3
12|/u/NachosConQueso|347|139|208
13|/u/treje|278|31|247
14|/u/iwannaplay5050|275|273|2
15|/u/SolidGoldMagikarp|198|25|173
16|/u/rschaosid|189|103|86
17|/u/SamsterOverdrive|135|78|57
18|/u/rideride|113|75|38
19|/u/Al3xFreeman|91|81|10
20|/u/thephilsblogbar|69|36|33
21|/u/ItzLeinad|62|62|
22|/u/ludrol|53|49|4
23|/u/roastytoasty0428|32|19|13
24|/u/gordonpt8|30|21|9
25|/u/smarvin6689|27|6|21
26|/u/parker_cube|25|17|8
27|/u/davidjl123|23|15|8
28|/u/TheChezMaster|18|3|15
29|/u/abplows|17|7|10
30|/u/noduorg|14|10|4
31|/u/ItzCaught|12||12
32|/u/count_worse|10|6|4
33|/u/blizz1337x|9|3|6
34|/u/Harding_1920|7|3|4
35|/u/VitaminB16|7|4|3
36|/u/TOP_6689|6|2|4
37|/u/MrBahr12|6|5|1
38|/u/LeinadFork|4|2|2
39|/u/Leinadont|3|3|
40|/u/N1Z3|3|1|2
41|/u/LeinadSpatula|2||2
42|/u/NobodyL3insMe|2||2
43|/u/YouShouldCountMore|2||2
44|/u/LeinadChopsticks|2||2
45|/u/321nadonimod|2|1|1
46|/u/artbn|2|1|1
47|/u/qmzl|2|1|1
48|/u/Jackson1442|2||2
49|/u/sakima11|2|1|1
50|/u/Lein4You|1|1|
51|/u/DemonBurritoCat|1||1
52|/u/LeinadKnife|1||1
53|/u/Glitch031|1|1|
54|/u/Whit4You|1|1|
55|/u/_sycube|1|1|
56|/u/poler10|1||1
57|/u/1_Count_Per_HoC|1||1
58|/u/cro4_chromate|1||1
59|/u/Tranquilsunrise|1|1|
N/A has achieved WRC today

