#Daily Hoc For 2018-12-27
*Todays Counts: 43582*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/amazingpikachu_38|10076|1|10075
2|/u/NobodyL0vesMe|8749|5422|3327
3|/u/Lonadont|7295|4448|2847
4|/u/noduorg|5076|2856|2220
5|/u/ItzTaken|5025|4773|252
6|/u/MaybeNotWrong|4584|2637|1947
7|/u/PaleRepresentative|1710|1045|665
8|/u/treje|324|292|32
9|/u/TOP_20|265|23|242
10|/u/Tranquilsunrise|112|96|16
11|/u/VitaminB16|60|40|20
12|/u/smarvin6689|53|17|36
13|/u/NeonL1vesMatter|51|30|21
14|/u/Londadont|34|1|33
15|/u/davidjl123|30|14|16
16|/u/TOP_6689|24|21|3
17|/u/yesduorg|16|8|8
18|/u/gordonpt8|16|9|7
19|/u/dominodan123|16|11|5
20|/u/ItzNotWrong|7|5|2
21|/u/4FrSw|5|5|
22|/u/count_worse|5|3|2
23|/u/Rajalaxo|4|2|2
24|/u/SolidGoldMagikarp|4|1|3
25|/u/PaIeRepresentative|4|4|
26|/u/cro4_chromate|3|1|2
27|/u/Chalupa_Treje|3|2|1
28|/u/trejes_independence|3|3|
29|/u/SubSmartstocks|2|2|
30|/u/buniws|2||2
31|/u/ChalupaL0vesMe|2|1|1
32|/u/LeinadSpoon|2|1|1
33|/u/Chalupa_DadAFK|2|1|1
34|/u/AltsAreEasyToMake|2||2
35|/u/MaybeNotAnAlt|2|2|
36|/u/Chalupa_Dab|2|1|1
37|/u/rideride|2|1|1
38|/u/Chalupa_Dustin|2||2
39|/u/artbn|1|1|
40|/u/MrBahr12|1||1
41|/u/rschaosid|1||1
42|/u/mrcarpetmanager|1||1
43|/u/ImBadAtRocketLeague|1|1|
44|/u/chalupa__dad|1|1|
45|/u/Chaoz_Sanctuary|1|1|
46|/u/NobodyL0nasMe|1||1


N/A has achieved WRC today.
