#Daily Hoc For 2018-10-16
*Todays Counts: 12681*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/amazingpikachu_38|1615||1615
2|/u/LeinadSpoon|1523|1337|186
3|/u/ItzTaken|1251|1008|243
4|/u/TOP_20|1089|357|732
5|/u/treje|1087|1024|63
6|/u/MaybeNotWrong|850|244|606
7|/u/dominodan123|792|179|613
8|/u/Lonadont|621|352|269
9|/u/NobodyL0vesMe|613|346|267
10|/u/eddebbboi|603|161|442
11|/u/starwarsmace|339|173|166
12|/u/Noob2137|288|201|87
13|/u/Vincevines|238|78|160
14|/u/PrisonBull|173|75|98
15|/u/VitaminB16|164|38|126
16|/u/rideride|126|65|61
17|/u/rschaosid|108|70|38
18|/u/BredsonTy|103|70|33
19|/u/N1Z3|101|4|97
20|/u/pocketposter|90|8|82
21|/u/Rajalaxo|88|80|8
22|/u/teeravj|76|52|24
23|/u/SolidGoldMagikarp|60|15|45
24|/u/parker_cube|54|50|4
25|/u/thegreatestminer|54|49|5
26|/u/MaybeNotSpoon|53||53
27|/u/Lein4You|51|51|
28|/u/Mac_cy|48||48
29|/u/shhx|38|27|11
30|/u/hectorisnice|35|31|4
31|/u/parklawnz|27|11|16
32|/u/batpuppy|25|20|5
33|/u/thephilsblogbar|25|18|7
34|/u/smarvin6689|24|11|13
35|/u/ShowerMeWithAdvice|21|11|10
36|/u/MyPasswordIs________|16|11|5
37|/u/davidjl123|14|7|7
38|/u/gordonpt8|12|5|7
39|/u/Tornado702|12|5|7
40|/u/dogcatcowpig|11|6|5
41|/u/Chalupa_Dab|11|11|
42|/u/sadomugen|11|5|6
43|/u/cats_taste_good|10|6|4
44|/u/noduorg|10|5|5
45|/u/nicholaslaux|9|3|6
46|/u/Cyan_O64|7|7|
47|/u/Hetiiii|7|2|5
48|/u/luc122c|7|6|1
49|/u/oc57anaf|6||6
50|/u/LeinadFork|5|3|2
51|/u/rschaospoon|5|2|3
52|/u/sanicthegay|5|5|
53|/u/Daredeviledeggs|5|1|4
54|/u/MrBahr12|4|3|1
55|/u/sakima11|4|1|3
56|/u/abplows|4|3|1
57|/u/WhatIsRocketLeague|4|1|3
58|/u/Kanorado99|4||4
59|/u/Zachary_Sikes|3|2|1
60|/u/TOP_6689|3|1|2
61|/u/randomusername123458|3|3|
62|/u/Order_____66|3|2|1
63|/u/madmav|3|2|1
64|/u/FiresThatBurn|2||2
65|/u/count_worse|2||2
66|/u/Lugrim|2|1|1
67|/u/mithrandir15|2|1|1
68|/u/starpen|2||2
69|/u/Retro28|2|2|
70|/u/saulorama|1|1|
71|/u/wademcgillis|1|1|
72|/u/Chalupa_Dude|1|1|
73|/u/piyushsharma301|1||1
74|/u/Leinadont|1|1|
75|/u/TheSolazene|1|1|
76|/u/zedzedzedz|1|1|
77|/u/abplow|1||1
78|/u/Alexander_MeeM|1|1|
79|/u/Mooraell|1|1|
80|/u/0li4|1||1
81|/u/walrusmaster77|1||1
82|/u/MrSm1lez|1||1
83|/u/TheNitromeFan|1|1|
84|/u/stchy_5|1||1
85|/u/1_Count_Per_HoC|1|1|
86|/u/Tranquilsunrise|1|1|
87|/u/cro4_chromate|1|1|


N/A has achieved WRC today.
