#Daily Hoc For 2018-11-10
*Todays Counts: 47302*

\#|Username|No. of Counts|Evens|Odds
-|-|-|-|-
1|/u/ItzTaken|15053|8539|6514
2|/u/dominodan123|10929|5801|5128
3|/u/NobodyL0vesMe|7164|1904|5260
4|/u/noduorg|5737|3634|2103
5|/u/treje|2770|1207|1563
6|/u/Lonadont|1767|1349|418
7|/u/Rajalaxo|1270|442|828
8|/u/MaybeNotWrong|1097|146|951
9|/u/SolidGoldMagikarp|388|57|331
10|/u/prmcd16|386|378|8
11|/u/davidjl123|226|2|224
12|/u/just_another_shadow|130|1|129
13|/u/rideride|63|14|49
14|/u/Chalupa_Dude|54|27|27
15|/u/yesduorg|42|41|1
16|/u/smarvin6689|41|17|24
17|/u/abplows|32|13|19
18|/u/TOP_6689|27|14|13
19|/u/gordonpt8|25|13|12
20|/u/TOP_20|16|12|4
21|/u/amazingpikachu_38|15||15
22|/u/mossypiglet1|11|9|2
23|/u/count_worse|10|9|1
24|/u/NeonL1vesMatter|8|6|2
25|/u/VitaminB16|8|3|5
26|/u/sakima11|5|4|1
27|/u/LeinadSpoon|4|1|3
28|/u/MrBahr12|4|2|2
29|/u/Welcome-To-LC|4|2|2
30|/u/absolutelynotduorg|3|1|2
31|/u/Chalupa_Dab|2||2
32|/u/Steel_Triangle_Man|2|1|1
33|/u/Tranquilsunrise|1|1|
34|/u/Moarbadass|1|1|
35|/u/artbn|1||1
36|/u/Sbrej|1||1
37|/u/cro4_chromate|1|1|
38|/u/1_Count_Per_HoC|1||1
39|/u/thephilsblogbar|1|1|
40|/u/The_NOTD_Counter|1|1|
41|/u/fuck|1||1


ItzTaken has achieved WRC today.
